Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,http://data.bioontology.org/metadata/prefixIRI,http://www.w3.org/2004/02/skos/core#altLabel,http://www.w3.org/2004/02/skos/core#prefLabel
https://go.drugbank.com/drugs/DB11824,Tofogliflozin,tofogliflozin anhydr|tofogliflozin|tofogliflozin anhydrous,,FALSE,,,http://www.w3.org/2002/07/owl#Thing,DrugNames:DB11824,tofogliflozin anhydr|tofogliflozin|tofogliflozin anhydrous,Tofogliflozin
https://go.drugbank.com/drugs/DB11823,Esketamine,(s)-ketamin|s-(-)-ketamine|(s)-(âˆ’)-ketamine|(s)-ketamine|(-)-ketamine|(âˆ’)-ketamine|s-(-)-ketamin|(s)-(âˆ’)-ketamin|(-)-ketamin|(s)-2-(o-chlorophenyl)-2-(methylamino)cyclohexanone|(s)-2-(o-chlorophenyl)-2-(methylamino)cyclohexanon|(âˆ’)-ketamin|esketamin|esketamine|l-ketamin|l-ketamine|s-ketamin|s-ketamine,,FALSE,,,http://www.w3.org/2002/07/owl#Thing,DrugNames:DB11823,(s)-ketamin|s-(-)-ketamine|(s)-(âˆ’)-ketamine|(s)-ketamine|(-)-ketamine|(âˆ’)-ketamine|s-(-)-ketamin|(s)-(âˆ’)-ketamin|(-)-ketamin|(s)-2-(o-chlorophenyl)-2-(methylamino)cyclohexanone|(s)-2-(o-chlorophenyl)-2-(methylamino)cyclohexanon|(âˆ’)-ketamin|esketamin|esketamine|l-ketamin|l-ketamine|s-ketamin|s-ketamine,Esketamine
https://go.drugbank.com/drugs/DB11826,Lampalizumab,lampalizumab,,FALSE,,,http://www.w3.org/2002/07/owl#Thing,DrugNames:DB11826,lampalizumab,Lampalizumab
http://id.nlm.nih.gov/mesh/D043803,Oxabenzochrysenones,phenylphenalenones|oxabenzochrysenon|oxabenzochrysenones|phenylphenalenon|phenalen|phenalenes,,FALSE,,,http://www.w3.org/2002/07/owl#Thing,MeSH:D043803,phenylphenalenones|oxabenzochrysenon|oxabenzochrysenones|phenylphenalenon|phenalen|phenalenes,Oxabenzochrysenones
http://id.nlm.nih.gov/mesh/D011061,Adenine Polynucleotides,"polyadenyl acid|polyadenylic acids|adenine polynucleotid|adenin polynucleotid|polynucleotides, adenin|polynucleotides, adenine|polyadenylic acid|adenine polynucleotides|poli a|poly a|poly(ra)",,FALSE,,,http://www.w3.org/2002/07/owl#Thing,MeSH:D011061,"polyadenyl acid|polyadenylic acids|adenine polynucleotid|adenin polynucleotid|polynucleotides, adenin|polynucleotides, adenine|polyadenylic acid|adenine polynucleotides|poli a|poly a|poly(ra)",Adenine Polynucleotides
http://id.nlm.nih.gov/mesh/D029969,Angelica,european angelica root|angelica archangelica|angelica archangelica root|archangel root|angelicae radix|garden angelica root extract|angelica root extract|chanda root|archangelica officinalis root extract|wild parsnip root|angelica archangelica root extract|angelica root|norwegian angelica|angelica archangelica powd|chirakabheda root|angelica radix|angelica archangelica powder|archangelica officinali root extract|angelica|angelicas,,FALSE,,,http://www.w3.org/2002/07/owl#Thing,MeSH:D029969,european angelica root|angelica archangelica|angelica archangelica root|archangel root|angelicae radix|garden angelica root extract|angelica root extract|chanda root|archangelica officinalis root extract|wild parsnip root|angelica archangelica root extract|angelica root|norwegian angelica|angelica archangelica powd|chirakabheda root|angelica radix|angelica archangelica powder|archangelica officinali root extract|angelica|angelicas,Angelica
http://id.nlm.nih.gov/mesh/D017356,Synchrotrons,synchrotrons|synchrotron,,FALSE,,,http://www.w3.org/2002/07/owl#Thing,MeSH:D017356,synchrotrons|synchrotron,Synchrotrons
http://id.nlm.nih.gov/mesh/D045346,Cytochrome bf,cytochrome b6f complex|cytochrom b6f|cytochrom bf complex|cytochrome b6-f|cytochrome bf|cytochrom b6f complex|cytochrom bf|cytochrom b6-f|cytochrome b6 f|cytochrome b(6)-f complex|cytochrom b6 f|cytochrome b6f|cytochrom b(6)-f complex|cytochrome bf complex,,FALSE,,,http://www.w3.org/2002/07/owl#Thing,MeSH:D045346,cytochrome b6f complex|cytochrom b6f|cytochrom bf complex|cytochrome b6-f|cytochrome bf|cytochrom b6f complex|cytochrom bf|cytochrom b6-f|cytochrome b6 f|cytochrome b(6)-f complex|cytochrom b6 f|cytochrome b6f|cytochrom b(6)-f complex|cytochrome bf complex,Cytochrome bf
http://id.nlm.nih.gov/mesh/D011428,Proplast,proplast|proplast i,,FALSE,,,http://www.w3.org/2002/07/owl#Thing,MeSH:D011428,proplast|proplast i,Proplast
http://id.nlm.nih.gov/mesh/D007096,Imidates,imidoesters|imid|imidat|imidates|imidoest,,FALSE,,,http://www.w3.org/2002/07/owl#Thing,MeSH:D007096,imidoesters|imid|imidat|imidates|imidoest,Imidates
